,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200824,AK,5628,324875,,43.0,,,,8.0,,1861.0,A,8/24/2020 03:59,2020-08-24T03:59:00Z,08/23 23:59,32,,2020-08-24T03:59:00Z,330503.0,5221.0,324954.0,5628.0,32.0,,,,,,,,,,,,,,2,70,2993,330503,330503,3063,330503,0,0,54865e3eaef9af79f98d4ca570197186492760a0,0,0,0,0,0,
1,20200824,AL,116710,806609,,1149.0,13793.0,,1391.0,,754.0,44684.0,B,8/24/2020 11:00,2020-08-24T11:00:00Z,08/24 07:00,2024,13793.0,2020-08-24T11:00:00Z,916364.0,,,110769.0,1950.0,74.0,,,,,,,,,,,,,1,1650,0,923319,923319,1650,923319,11,291,2fe1d500d143b2a7f02117934c2c53d0b2648560,0,0,0,0,0,
2,20200824,AR,56894,616810,,466.0,3962.0,,,108.0,507.0,50689.0,A,8/24/2020 14:36,2020-08-24T14:36:00Z,08/24 10:36,696,3962.0,2020-08-24T14:36:00Z,673704.0,,616810.0,56894.0,,,,,,,,,,,,,10358.0,,5,320,7684,673704,673704,8004,673704,9,42,51dc585c49ed43ee35e01760e30b6b7aa792afe6,0,0,0,0,0,
3,20200824,AS,0,1514,,,,,,,,,C,8/15/2020 00:00,2020-08-15T00:00:00Z,08/14 20:00,0,,2020-08-15T00:00:00Z,,,,0.0,,,,1514.0,,,,,,,,,,,60,0,0,1514,1514,0,1514,0,0,c878baea61754904c3c233d78e523723e2f4a8e1,0,0,0,0,0,
4,20200824,AZ,198414,958808,,908.0,21219.0,345.0,,176.0,,29341.0,A+,8/24/2020 00:00,2020-08-24T00:00:00Z,08/23 20:00,4771,21219.0,2020-08-24T00:00:00Z,1155629.0,,,196821.0,4514.0,257.0,,,260739.0,,,,,,,,,,4,311,6042,1157222,1157222,6353,1157222,0,-22,a3a22a4967b6ca06481f5aa38b1c59235db23f87,0,0,0,0,0,
5,20200824,CA,668615,9983872,,5618.0,,1549.0,,,,,B,8/24/2020 00:00,2020-08-24T00:00:00Z,08/23 20:00,12152,,2020-08-24T00:00:00Z,10652487.0,,,668615.0,,,,,,,,,,,,,,,6,4946,106510,10652487,10652487,111456,10652487,18,0,0fef94fe30b9f66bbbe5d05df3bb2be6bdb124df,0,0,0,0,0,
6,20200824,CO,55143,594857,,225.0,6841.0,,,,,5823.0,A,8/23/2020 01:59,2020-08-23T01:59:00Z,08/22 21:59,1815,6841.0,2020-08-23T01:59:00Z,,,,50313.0,,,938596.0,668994.0,153659.0,10454.0,141188.0,,,,,,,,8,260,0,650000,938596,8444,650000,0,10,55073b81c42abc5e875758d05f22479d8a9d7451,0,0,0,0,0,
7,20200824,CT,52011,1025705,,57.0,11087.0,,,,,8893.0,B,8/23/2020 20:30,2020-08-23T20:30:00Z,08/23 16:30,4460,11087.0,2020-08-23T20:30:00Z,1075645.0,,,49940.0,3574.0,886.0,,,,,,,,,,,,,9,492,54854,1077716,1077716,55346,1077716,0,0,684973e9ddab06509f1910e248fda2b137232dc2,0,0,0,0,0,
8,20200824,DC,13639,255762,,85.0,,26.0,,13.0,,10835.0,A+,8/23/2020 00:00,2020-08-23T00:00:00Z,08/22 20:00,604,,2020-08-23T00:00:00Z,,,,,,,,269401.0,,,,,,,,,,,11,49,3306,269401,269401,3355,269401,0,0,be373dbf12479fe6005daa9449da00d0db47fe64,0,0,0,0,0,
9,20200824,DE,16942,206559,,38.0,,7.0,,,,8972.0,A+,8/23/2020 18:00,2020-08-23T18:00:00Z,08/23 14:00,604,,2020-08-23T18:00:00Z,,,,15930.0,532.0,72.0,,223501.0,,,,,,,,,,,10,47,1609,223501,223501,1656,223501,4,0,e9750b46be11a2d74c159d809153d3aea9023733,0,0,0,0,0,
