,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,JobsRetained,LoanCat,full_addr
0,"ARCTIC SLOPE NATIVE ASSOCIATION, LTD.",7000 Uula St,BARROW,AK,99723.0,813920.0,Non-Profit Organization,295.0,a,"7000 Uula St, BARROW, AK"
1,CRUZ CONSTRUCTION INC,7000 East Palmer Wasilla Hwy,PALMER,AK,99645.0,238190.0,Subchapter S Corporation,215.0,a,"7000 East Palmer Wasilla Hwy, PALMER, AK"
2,"I. C. E. SERVICES, INC",2606 C Street,ANCHORAGE,AK,99503.0,722310.0,Corporation,367.0,a,"2606 C Street, ANCHORAGE, AK"
3,KATMAI HEALTH SERVICES LLC,"11001 O'MALLEY CENTRE DRIVE, SUITE 204",ANCHORAGE,AK,99515.0,621111.0,Limited  Liability Company(LLC),0.0,a,"11001 O'MALLEY CENTRE DRIVE, ANCHORAGE, AK"
4,MATANUSKA TELEPHONE ASSOCIATION,1740 S. CHUGACH ST,PALMER,AK,99645.0,517311.0,Cooperative,267.0,a,"1740 S. CHUGACH ST, PALMER, AK"
5,"NANA WORLEY, LLC","3700 Centerpoint Drive, 7th floor",ANCHORAGE,AK,99503.0,541330.0,Limited  Liability Company(LLC),231.0,a,"3700 Centerpoint Drive, ANCHORAGE, AK"
6,"NORTHERN ENERGY SERVICES, LLC",6250 South Airpark Place,ANCHORAGE,AK,99502.0,213112.0,Limited  Liability Company(LLC),298.0,a,"6250 South Airpark Place, ANCHORAGE, AK"
7,SOUTH PENINSULA HOSPITAL INC,4300 BARTLETT STREET,HOMER,AK,99603.0,622110.0,Corporation,439.0,a,"4300 BARTLETT STREET, HOMER, AK"
8,"TATITLEK TECHNOLOGIES, INC.",561 E. 36th Avenue,ANCHORAGE,AK,99503.0,518210.0,Corporation,361.0,a,"561 E. 36th Avenue, ANCHORAGE, AK"
9,"TYONEK GLOBAL SERVICES, LLC",1689 C ST,ANCHORAGE,AK,99501.0,611420.0,Limited  Liability Company(LLC),0.0,a,"1689 C ST, ANCHORAGE, AK"
10,"TYONEK WORLDWIDE SERVICES, INC.",1689 C ST,ANCHORAGE,AK,99501.0,488190.0,Subchapter S Corporation,0.0,a,"1689 C ST, ANCHORAGE, AK"
11,"YULISTA TACTICAL, LLC",5015 BUSINESS PARK BLVD Suite 3000,ANCHORAGE,AK,99503.0,541614.0,Limited  Liability Company(LLC),220.0,a,"5015 BUSINESS PARK BLVD Suite 3000, ANCHORAGE, AK"
