,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,JobsRetained,LoanCat,full_addr
12,"ADVANCED SUPPLY CHAIN INTERNATIONAL, LLC",2525 GAMBELL ST Ste 405,ANCHORAGE,AK,99503.0,493190.0,Limited  Liability Company(LLC),126.0,b,"2525 GAMBELL ST Ste 405, ANCHORAGE, AK"
14,AHTNA ENVIRONMENTAL INC,110 W 38th Ave Ste 200B,ANCHORAGE,AK,99503.0,562910.0,Corporation,180.0,b,"110 W 38th Ave Ste 200B, ANCHORAGE, AK"
15,AHTNA PROFESSIONAL SERVICES INC,110 W 38th Ave Ste 200F,ANCHORAGE,AK,99503.0,541513.0,Corporation,216.0,b,"110 W 38th Ave Ste 200F, ANCHORAGE, AK"
17,"ALASKA CENTRAL EXPRESS, INC.",5901 Lockheed Avenue,ANCHORAGE,AK,99502.0,481112.0,Subchapter S Corporation,158.0,b,"5901 Lockheed Avenue, ANCHORAGE, AK"
19,"ALASKA HEART INSTITUTE, LLC",3841 Piper Street Suite T-100,ANCHORAGE,AK,99508.0,621111.0,Subchapter S Corporation,240.0,b,"3841 Piper Street Suite T-100, ANCHORAGE, AK"
20,"ALASKA SALES AND SERVICE, INC.",1300 East 5th Avenue,ANCHORAGE,AK,99501.0,441110.0,Subchapter S Corporation,141.0,b,"1300 East 5th Avenue, ANCHORAGE, AK"
21,ALASKA VILLAGE ELECTRIC,4831 EAGLE STREET,ANCHORAGE,AK,99503.0,221122.0,Corporation,0.0,b,"4831 EAGLE STREET, ANCHORAGE, AK"
22,ALCAN ELEC. & ENGINEERING INC.,6670 Arctic Spur Rd.,ANCHORAGE,AK,99518.0,238210.0,Subchapter S Corporation,92.0,b,"6670 Arctic Spur Rd., ANCHORAGE, AK"
23,"ALLEN MARINE TOURS, INC.",1512 Sawmill Creek Rd,SITKA,AK,99835.0,561520.0,Corporation,170.0,b,"1512 Sawmill Creek Rd, SITKA, AK"
24,ALYESKA RESORT OPERATIONS LIMITED PARTNERSHIP,1000 Arlberg Ave,GIRDWOOD,AK,99587.0,721110.0,Partnership,393.0,b,"1000 Arlberg Ave, GIRDWOOD, AK"
25,"ANCHORAGE COMMUNITY MENTAL HEALTH SERVICES, INC.",4020 FOLKER STREET,ANCHORAGE,AK,99508.0,621498.0,Non-Profit Organization,168.0,b,"4020 FOLKER STREET, ANCHORAGE, AK"
26,ANCHORAGE FRACTURE & ORTHOPEDIC CLINIC,3831 Piper Street Suite 220,ANCHORAGE,AK,99508.0,621111.0,Corporation,117.0,b,"3831 Piper Street Suite 220, ANCHORAGE, AK"
28,"BEACON OCCUPATIONAL HEALTH AND SAFETY SERVICES, INC.",800 Cordova Street,ANCHORAGE,AK,99501.0,621111.0,Corporation,230.0,b,"800 Cordova Street, ANCHORAGE, AK"
29,"BERING AIR, INC.",PO Box 1650,NOME,AK,99762.0,481211.0,Subchapter S Corporation,184.0,b,"PO Box 1650, NOME, AK"
30,"BERING SEA ENVIRONMENTAL, LLC",3601 C st Ste 1000-31,ANCHORAGE,AK,99503.0,541330.0,Limited  Liability Company(LLC),159.0,b,"3601 C st Ste 1000-31, ANCHORAGE, AK"
31,CENTRAL COUNCIL TLINGIT & HAIDA INDIAN TRIBES OF ALASKA,9097 Glacier Hwy,JUNEAU,AK,99801.0,813410.0,Professional Association,318.0,b,"9097 Glacier Hwy, JUNEAU, AK"
32,"CENTRAL ENVIRONMENTAL, INC.",311 N Sitka Street,ANCHORAGE,AK,99501.0,562910.0,Subchapter S Corporation,122.0,b,"311 N Sitka Street, ANCHORAGE, AK"
33,"COLVILLE, INC.",4300 B Street,ANCHORAGE,AK,99503.0,454319.0,Corporation,213.0,b,"4300 B Street, ANCHORAGE, AK"
34,"COPPER RIVER SEAFOODS, INC.",1118 5TH AVE,ANCHORAGE,AK,99501.0,311710.0,Corporation,303.0,b,"1118 5TH AVE, ANCHORAGE, AK"
35,DAVIS CONSTRUCTORS & ENGINEERS,13701 Vern Drive,ANCHORAGE,AK,99516.0,236210.0,Sole Proprietorship,78.0,b,"13701 Vern Drive, ANCHORAGE, AK"
36,"DENALI FOODS, INC.",3301 Denali St,ANCHORAGE,AK,99503.0,722511.0,Subchapter S Corporation,451.0,b,"3301 Denali St, ANCHORAGE, AK"
37,ENGINEERED SOLUTIONS GROUP,"3305 Arctic Boulevard, Suite 201",ANCHORAGE,AK,99503.0,541330.0,Subchapter S Corporation,158.0,b,"3305 Arctic Boulevard, ANCHORAGE, AK"
38,"FAIRWEATHER, LLC",301 Calista Court,ANCHORAGE,AK,99518.0,541618.0,Limited  Liability Company(LLC),140.0,b,"301 Calista Court, ANCHORAGE, AK"
39,"FAMILY CENTERED SERVICES OF ALASKA, INC.",1825 Marika Rd.,FAIRBANKS,AK,99709.0,621420.0,Non-Profit Organization,145.0,b,"1825 Marika Rd., FAIRBANKS, AK"
40,"FULLFORD ELECTRIC, INC.",303 E VAN HORN RD,FAIRBANKS,AK,99701.0,238210.0,Subchapter S Corporation,82.0,b,"303 E VAN HORN RD, FAIRBANKS, AK"
41,"GEONORTH, LLC.",561 E. 36th Ave.,ANCHORAGE,AK,99503.0,541511.0,Limited  Liability Company(LLC),188.0,b,"561 E. 36th Ave., ANCHORAGE, AK"
42,"GRANT AVIATION, INC.",6402 Kulis Dr,ANCHORAGE,AK,99502.0,481111.0,Corporation,189.0,b,"6402 Kulis Dr, ANCHORAGE, AK"
43,"GREAT NORTHWEST, INC.",2975 Van Horn Road,FAIRBANKS,AK,99709.0,237310.0,Subchapter S Corporation,59.0,b,"2975 Van Horn Road, FAIRBANKS, AK"
44,HOMER ELECTRIC ASSOCIATION INC,3977 LAKE STREET,HOMER,AK,99603.0,221122.0,Corporation,145.0,b,"3977 LAKE STREET, HOMER, AK"
45,ILISAGVIK COLLEGE,100 Stevenson St,BARROW,AK,99723.0,611310.0,Non-Profit Organization,207.0,b,"100 Stevenson St, BARROW, AK"
46,"JL PROPERTIES, INC",813 D Street Ste 20,ANCHORAGE,AK,99520.0,531110.0,Subchapter S Corporation,149.0,b,"813 D Street Ste 20, ANCHORAGE, AK"
47,"KATMAI SUPPORT SERVICES, LLC","11001 OMalley Centre Drive , Suite 204",ANCHORAGE,AK,99515.0,561210.0,Limited  Liability Company(LLC),255.0,b,"11001 OMalley Centre Drive , ANCHORAGE, AK"
48,"KAWERAK, INC.",PO Box 948,NOME,AK,99762.0,624110.0,Non-Profit Organization,215.0,b,"PO Box 948, NOME, AK"
49,KETCHIKAN INDIAN COMMUNITY,Ketchikan Indian Community,KETCHIKAN,AK,99901.0,621910.0,Corporation,165.0,b,"Ketchikan Indian Community, KETCHIKAN, AK"
51,"MRD, INC.",800 NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503.0,722514.0,Subchapter S Corporation,500.0,b,"800 NORTHERN LIGHTS BLVD, ANCHORAGE, AK"
52,"NEESER CONSTRUCTION, INC.",2501 BLUEBERRY ROAD,ANCHORAGE,AK,99503.0,237990.0,Corporation,74.0,b,"2501 BLUEBERRY ROAD, ANCHORAGE, AK"
53,NEW HORIZONS TELECOM INC.,901 Cope Industrial Way,PALMER,AK,99645.0,237130.0,Corporation,64.0,b,"901 Cope Industrial Way, PALMER, AK"
54,"ORTHOALASKA, LLC",3801 Lake Otis Parkway,ANCHORAGE,AK,99508.0,621111.0,Limited  Liability Company(LLC),240.0,b,"3801 Lake Otis Parkway, ANCHORAGE, AK"
55,"PDC, INC",1028 AURORA DR.,FAIRBANKS,AK,99709.0,541330.0,Subchapter S Corporation,97.0,b,"1028 AURORA DR., FAIRBANKS, AK"
56,PND ENGINEERS INC,1506 W 36th Ave,ANCHORAGE,AK,99503.0,541330.0,Corporation,112.0,b,"1506 W 36th Ave, ANCHORAGE, AK"
58,"RESOURCE DATA, INC","560 East 34th Avenue, Suite 100",ANCHORAGE,AK,99503.0,541511.0,Subchapter S Corporation,194.0,b,"560 East 34th Avenue, ANCHORAGE, AK"
59,SAMSON TUG & BARGE CO INC,132 Lincoln St,SITKA,AK,99835.0,483113.0,Subchapter S Corporation,136.0,b,"132 Lincoln St, SITKA, AK"
60,"SOURDOUGH EXPRESS, INC",PO Box 73398,FAIRBANKS,AK,99707.0,484110.0,Subchapter S Corporation,129.0,b,"PO Box 73398, FAIRBANKS, AK"
61,TATONDUK OUTFITTERS LTD,5525 Airport Industrial Rd.,FAIRBANKS,AK,99709.0,481211.0,Subchapter S Corporation,336.0,b,"5525 Airport Industrial Rd., FAIRBANKS, AK"
62,TEYA SERVICES LLC,101 EAST 9TH AVENUE SUTE 9B,ANCHORAGE,AK,99501.0,551114.0,Limited  Liability Company(LLC),430.0,b,"101 EAST 9TH AVENUE SUTE 9B, ANCHORAGE, AK"
63,TIKIGAQ CORPORATION,701 S. Knik Goose Bay Road Suite M,WASILLA,AK,99654.0,921150.0,Corporation,341.0,b,"701 S. Knik Goose Bay Road Suite M, WASILLA, AK"
64,TRAILBOSS TX LLC,201 E 3rd Avenue,ANCHORAGE,AK,99501.0,561210.0,Limited  Liability Company(LLC),199.0,b,"201 E 3rd Avenue, ANCHORAGE, AK"
65,"TUNISTA SERVICES, LLC",5015 BUSINESS PARK BLVD Suite 3000,ANCHORAGE,AK,99503.0,811412.0,Limited  Liability Company(LLC),244.0,b,"5015 BUSINESS PARK BLVD Suite 3000, ANCHORAGE, AK"
66,"TYONEK MANUFACTURING GROUP, INC.",1689 C ST,ANCHORAGE,AK,99501.0,551112.0,Subchapter S Corporation,0.0,b,"1689 C ST, ANCHORAGE, AK"
1705,A-P-T RESEARCH INC,4950 RESEARCH DR NW,HUNTSVILLE,AL,35805.0,541330.0,Employee Stock Ownership Plan(ESOP),162.0,b,"4950 RESEARCH DR NW, HUNTSVILLE, AL"
1706,ABILITY PLUS INC,100 Jetplex Blvd SW,HUNTSVILLE,AL,35824.0,623210.0,Corporation,461.0,b,"100 Jetplex Blvd SW, HUNTSVILLE, AL"
1707,ADTRAV CORPORATION,4555 Southlake Parkway,BIRMINGHAM,AL,35244.0,561510.0,Corporation,322.0,b,"4555 Southlake Parkway, BIRMINGHAM, AL"
1708,"ADVANCED CLINICAL EMPLOYMENT STAFFING, LLC",28276 STATE HIGHWAY 75,ONEONTA,AL,35121.0,561320.0,Limited  Liability Company(LLC),141.0,b,"28276 STATE HIGHWAY 75, ONEONTA, AL"
1709,"AIRTEK CONSTRUCTION, INC.",700 Hudson St,TROY,AL,36079.0,238990.0,Subchapter S Corporation,89.0,b,"700 Hudson St, TROY, AL"
1710,ALABAMA MEDICAL GROUP PC,101 MEMORIAL HOSPITAL DR,MOBILE,AL,36608.0,621610.0,Corporation,238.0,b,"101 MEMORIAL HOSPITAL DR, MOBILE, AL"
1711,ALABAMA MOTOR EXPRESS INC,10720 US HWY 84 EAST,ASHFORD,AL,36312.0,484121.0,Corporation,253.0,b,"10720 US HWY 84 EAST, ASHFORD, AL"
1712,ALABAMA ORTHOPAEDIC CLINICS PC,3610 Springhill Memorial Dr N,MOBILE,AL,36608.0,621111.0,Corporation,260.0,b,"3610 Springhill Memorial Dr N, MOBILE, AL"
1713,"ALABAMA SPECIALTY PRODUCTS, INC.",PO BOX 8,MUNFORD,AL,36268.0,335999.0,Corporation,215.0,b,"PO BOX 8, MUNFORD, AL"
1714,"ALLIANCE SOURCE TESTING, LLC",255 GRANT ST SE,DECATUR,AL,35601.0,541380.0,Limited  Liability Company(LLC),173.0,b,"255 GRANT ST SE, DECATUR, AL"
1715,"AMERICAN APPAREL, INC.",107 Selma Bypass,SELMA,AL,36702.0,315210.0,Subchapter S Corporation,500.0,b,"107 Selma Bypass, SELMA, AL"
