,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,JobsRetained,LoanCat
0,"ARCTIC SLOPE NATIVE ASSOCIATION, LTD.",7000 Uula St,BARROW,AK,99723.0,813920.0,Non-Profit Organization,295.0,a
1,CRUZ CONSTRUCTION INC,7000 East Palmer Wasilla Hwy,PALMER,AK,99645.0,238190.0,Subchapter S Corporation,215.0,a
2,"I. C. E. SERVICES, INC",2606 C Street,ANCHORAGE,AK,99503.0,722310.0,Corporation,367.0,a
3,KATMAI HEALTH SERVICES LLC,"11001 O'MALLEY CENTRE DRIVE, SUITE 204",ANCHORAGE,AK,99515.0,621111.0,Limited  Liability Company(LLC),0.0,a
4,MATANUSKA TELEPHONE ASSOCIATION,1740 S. CHUGACH ST,PALMER,AK,99645.0,517311.0,Cooperative,267.0,a
5,"NANA WORLEY, LLC","3700 Centerpoint Drive, 7th floor",ANCHORAGE,AK,99503.0,541330.0,Limited  Liability Company(LLC),231.0,a
6,"NORTHERN ENERGY SERVICES, LLC",6250 South Airpark Place,ANCHORAGE,AK,99502.0,213112.0,Limited  Liability Company(LLC),298.0,a
7,SOUTH PENINSULA HOSPITAL INC,4300 BARTLETT STREET,HOMER,AK,99603.0,622110.0,Corporation,439.0,a
8,"TATITLEK TECHNOLOGIES, INC.",561 E. 36th Avenue,ANCHORAGE,AK,99503.0,518210.0,Corporation,361.0,a
9,"TYONEK GLOBAL SERVICES, LLC",1689 C ST,ANCHORAGE,AK,99501.0,611420.0,Limited  Liability Company(LLC),0.0,a
10,"TYONEK WORLDWIDE SERVICES, INC.",1689 C ST,ANCHORAGE,AK,99501.0,488190.0,Subchapter S Corporation,0.0,a
11,"YULISTA TACTICAL, LLC",5015 BUSINESS PARK BLVD Suite 3000,ANCHORAGE,AK,99503.0,541614.0,Limited  Liability Company(LLC),220.0,a
1652,ACTION ENTERPRISE HOLDINGS LLC,204 20TH ST N,BIRMINGHAM,AL,35203.0,484220.0,Limited  Liability Company(LLC),499.0,a
1653,"ALLIANCE HR, INC",307 CLINTON AVE suite 200,HUNTSVILLE,AL,35801.0,561311.0,Corporation,443.0,a
1654,"AMERICAN FAMILY CARE, INC.",3700 Cahaba Beach Road,BIRMINGHAM,AL,35242.0,621111.0,Subchapter S Corporation,500.0,a
1655,"AMERICAN PROMOTIONAL EVENTS, INC.",4511 HELTON DR,FLORENCE,AL,35630.0,424990.0,Subchapter S Corporation,395.0,a
1656,"ANESTHESIOLOGISTS ASSOCIATES, P.C.",3104 BLUE LAKE DR,VESTAVIA,AL,35243.0,621111.0,Subchapter S Corporation,296.0,a
1657,ARD LOGISTICS-ALABAMA LLC,10093 BROSE DR,VANCE,AL,35490.0,541614.0,Limited  Liability Company(LLC),500.0,a
1658,ASSOCIATED GROCERS OF THE SOUTH INC,3600 Vanderbilt Rd,BIRMINGHAM,AL,35217.0,424490.0,Corporation,270.0,a
1659,ATS OPERATING LLC,1900 CRESTWOOD BLVD SUITE 302,IRONDALE,AL,35210.0,453310.0,Limited  Liability Company(LLC),250.0,a
1660,"AUTOMATION PERSONNEL SERVICES, INC.",3500 Colonnade Parkway,BIRMINGHAM,AL,35243.0,561499.0,Subchapter S Corporation,499.0,a
1661,BALCH & BINGHAM LLP,1901 6TH AVE N Ste 1500,BIRMINGHAM,AL,35203.0,541110.0,Partnership,381.0,a
1662,BEVILACQUA RESEARCH CORPORATION,4901 CORPORATE DR Ste B,HUNTSVILLE,AL,35805.0,541330.0,Corporation,343.0,a
1663,"CAPITOL BUSINESS EQUIPMENT, INC.",PO BOX 1944,MONTGOMERY,AL,36102.0,423420.0,Corporation,438.0,a
1664,"CARR, RIGGS & INGRAM, LLC",901 BOLL WEEVIL CIR SUITE 200,ENTERPRISE,AL,36330.0,541211.0,Limited  Liability Company(LLC),0.0,a
1665,"CONTINENTAL AEROSPACE TECHNOLOGIES, INC.",2039 S BROAD ST,MOBILE,AL,36615.0,336414.0,Limited  Liability Company(LLC),464.0,a
1666,DESHAZO LLC,200 Kilsby Circle,BESSEMER,AL,35022.0,339999.0,Limited  Liability Company(LLC),439.0,a
1667,DOTHAN SECURITY INC,600 West Adams ST,DOTHAN,AL,36303.0,561612.0,Subchapter S Corporation,500.0,a
1668,DYNAMIC SECURITY INC,1102 Woodward Ave,MUSCLE SHOALS,AL,35661.0,561612.0,Corporation,10.0,a
1669,"E.A. RENFROE & COMPANY, INC.",1600 CORPORATE DR,BIRMINGHAM,AL,35242.0,812990.0,Corporation,218.0,a
1670,ENCORE REHABILITATION INC,251 JOHNSTON ST SE STE 200,DECATUR,AL,35601.0,624190.0,Corporation,500.0,a
1671,"FACTORY CONNECTION, LLC",2300 Highway 79 South,GUNTERSVILLE,AL,35976.0,448140.0,Corporation,85.0,a
1672,"FELDER SERVICES, LLC",3400 N Beltline Park Dr,MOBILE,AL,36617.0,561720.0,Subchapter S Corporation,500.0,a
1673,"GENERAL SOUTHERN INDUSTRIES, INC.",15825 Alabama 243,RUSSELLVILLE,AL,35654.0,332312.0,Corporation,374.0,a
1674,HOMETOWN LENDERS,350 THE BRIDGE ST SUITE 200,HUNTSVILLE,AL,35806.0,522310.0,Corporation,393.0,a
1675,"IHP OPERATIONS , LLC",1769 LAWRENCE ST E,RUSSELLVILLE,AL,35654.0,333414.0,Limited  Liability Company(LLC),499.0,a
1676,J & M TANK LINES INC.,7501 Meadowlark Drive,BIRMINGHAM,AL,35242.0,484230.0,Corporation,250.0,a
1677,"JOHNSON CONTRACTORS, INC.",3635 2ND STREET,MUSCLE SHOALS,AL,35661.0,213112.0,Corporation,368.0,a
1678,"LEGACY CABINETS, INC.",285 LEGACY BLVD,EASTABOGA,AL,36260.0,337110.0,Corporation,500.0,a
1679,"MAGNOLIA RIVER SERVICES, INC.",711 Nance Ford Rd SW Suite E,HARTSELLE,AL,35640.0,541360.0,Subchapter S Corporation,400.0,a
1680,"MAILSOUTH, INC.",5901 HIGHWAY 52 E,HELENA,AL,35080.0,541810.0,Corporation,0.0,a
1681,"MAPLES INDUSTRIES, INC.",2210 Moody Ridge Rd,SCOTTSBORO,AL,35768.0,314110.0,Corporation,500.0,a
1682,"MAYNARD COOPER & GALE, PC.",1901 6TH AVE N Ste 2400,BIRMINGHAM,AL,35203.0,541110.0,Corporation,465.0,a
