,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,JobsRetained
661202,"d $350,000-1 million",AERO BOX LLC,,,XX,,484210.0,,
661203,"d $350,000-1 million",BOYER CHILDREN'S CLINIC,1850 BOYER AVE E,SEATTLE,XX,98112.0,,Non-Profit Organization,75.0
661204,"d $350,000-1 million",KIRTLEY CONSTRUCTION INC,1661 MARTIN RANCH RD,SAN BERNARDINO,XX,92407.0,236115.0,Corporation,21.0
661205,"d $350,000-1 million","PLEASANT PLACES, INC.",7684 Southrail Road,NORTH CHARLESTON,XX,29420.0,561730.0,Sole Proprietorship,73.0
661206,"d $350,000-1 million","SUMTER COATINGS, INC.",2410 Highway 15 South,SUMTER,XX,29150.0,325510.0,Corporation,62.0
661207,"e $150,000-350,000",CHURCH SQUARE PHARMACY INC,,,XX,,424210.0,Corporation,
661208,"e $150,000-350,000",FERNANDINA BEACH HOTEL GROUP LLC,,,XX,,721110.0,,
661209,"e $150,000-350,000",FRUIT COVE BAPTIST CHURCH OF JACKSONVILLE FL INC,501 State Road 13,SAINT JOHNS,XX,32259.0,813110.0,Non-Profit Organization,89.0
661210,"e $150,000-350,000",HUDSON EXTRUSIONS INC.,,,XX,,326199.0,,
661211,"e $150,000-350,000",MIAMITOWN AUTO PARTS AND RECYCLING INC,,,XX,,423140.0,Corporation,
661212,"e $150,000-350,000","MILFAST INDUSTRIAL SUPPLY, INC",,,XX,,423840.0,,18.0
661213,"e $150,000-350,000",NOT AVAILABLE,,,XX,,339114.0,,17.0
661214,"e $150,000-350,000",NOT AVAILABLE,,,XX,,339114.0,,16.0
661215,"e $150,000-350,000",NOT AVAILABLE,,,XX,,339114.0,,14.0
661216,"e $150,000-350,000",OTTAWA PRODUCTS CO INC,,,XX,,332510.0,,
661217,"e $150,000-350,000",POPPYCOCKS INC,,,XX,,444220.0,,
